Banco,Producto,Tasa,Moneda,Fecha de registro,Observaciones
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 6.0,MN,06/01/2014,Tipo: COMISION | Costo por envío físico del estado de cuenta de la tarjeta de crédito. | 1. Envío físico de estado de cuenta (d) | Periodicidad: Mensual | Cliente: Persona Natural | Categoría: Envío de Estado de Cuenta
Banco_de_la_Nación,Tasas Tarjeta de Crédito,ME: 1.0%,ME,2025-10-24,Tipo: COMISION | Comisión por conversión de moneda extranjera a nacional en consumos o disposición de efectivo. | 1. Conversión de moneda extranjera a nacional por consumos o disposición de efectivo (e) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Conversión de moneda
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 5.0,MN,2025-10-24,Tipo: COMISION | Costo por retiro de efectivo en cajeros automáticos de otros bancos. | 2.Retiro de efectivo en cajero automático de otros bancos (f) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Retiro de efectivo en cajero automático de otros bancos
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 1.0,MN,2025-10-24,Tipo: COMISION | Costo por consulta de saldos en cajeros automáticos. | 3.Consulta de saldos en cajero automático | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Consulta de saldos en cajero automático
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 1.0,MN,2025-10-24,Tipo: COMISION | Costo por consulta de últimos movimientos en cajeros automáticos. | 4.Consulta de últimos movimientos en cajero automático (h) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Consulta de últimos movimientos en cajero automático
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 0.5,MN,2025-10-24,Tipo: COMISION | Costo por consulta de saldos y últimos movimientos en cajeros corresponsales. | 5.Consulta de saldos y últimos movimientos en cajero corresponsal (h) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Consulta de saldos y últimos movimientos en cajero corresponsal
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 9.0,MN,2025-10-24,Tipo: COMISION | Costo por solicitar la modificación de la fecha de pago de la tarjeta de crédito. | 1.Modificación de fecha de pago solicitada por el cliente (g) (i) | Periodicidad: Por modificación | Cliente: Persona Natural | Categoría: Modificación de fecha de pago
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 9.0,MN,2025-10-24,"Tipo: COMISION | Costo por solicitar cambio de sistema de pago (revolvente a cuotas y viceversa). | 2.Sistema de pago | 1.Modificación de sistema de pago a solicitud del cliente (de revoelvencia a cuotas, viceversa) | Periodicidad: Por modificación | Cliente: Persona Natural | Categoría: Modificación de sistema de pago"
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 9.0,MN,2025-10-24,"Tipo: COMISION | Costo por solicitar reprogramación de cuotas, no por dificultades de pago. | 3.Reprogramación | 1.Modificación de programación de cuotas a solicitud de cliente (no obedece a dificultades de capacidad de pago) | Periodicidad: Por modificación | Cliente: Persona Natural | Categoría: Reprogramación de cuotas"
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 6.0,MN,2025-10-24,"Tipo: COMISION | Costo por emisión de duplicado de tarjeta de crédito por robo, pérdida o deterioro. | 1.Reposición de tarjeta de crédito | 1.Duplicado de tarjeta (j) | Periodicidad: Por duplicado | Cliente: Persona Natural | Categoría: Reposición de tarjeta de crédito"
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 0.0 | ME: $ 0.0,AMBAS,2025-10-24,Tipo: COMISION | Costo por emisión de tarjetas de crédito adicionales o opcionales. | 2.Tarjeta de crédito adicional y/u opcional | 1.Emisión de tarjetas adicionales | Cliente: Persona Natural | Categoría: Emisión de tarjetas adicionales
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: 0.419%,MN,25/04/2023,Tipo: GASTO | Costo mensual del seguro de desgravamen para la tarjeta de crédito. | SEGURO DE DESGRAVAMEN MENSUAL (c) | Periodicidad: Mensual | Cliente: Persona Natural | Categoría: Mensual
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 8.5,MN,2025-10-24,Tipo: COMISION | Costo por solicitar constancia de la tarjeta de crédito. | 1. Constancias | 1. Constancia solicitada por el cliente (g) | Periodicidad: Por constancia | Cliente: Persona Natural | Categoría: Constancia solicitada por el cliente
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 15.0,MN,2025-10-24,Tipo: COMISION | Costo por emisión de la segunda y siguientes constancias de no adeudo. | 2. Emisión de la segunda y siguientes constancias de no adeudo (g) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Emisión de segunda y siguientes constancias de no adeudo
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 2.0,MN,2025-10-24,Tipo: COMISION | Costo por copia de documentos relacionados a la cuenta o operación. | 2. Duplicado de contrato u otro documento | 1. Copia de documentos vinculados a la contratación y administración de la cuenta u operación (k) | Periodicidad: Por página | Cliente: Persona Natural | Categoría: Copia de documentos
Banco_de_la_Nación,Tasas Tarjeta de Crédito,N/A,MN,2025-10-24,Tipo: COMISION | Comisión por pago de tarjeta BN realizado desde otra entidad financiera. | 3. Transacciones a través de otras instituciones | 1. Pago de tarjeta BN desde otra entidad (l) | Cliente: Persona Natural | Categoría: Pago de tarjeta BN desde otra entidad
Banco_de_la_Nación,Tasas Tarjeta de Crédito,MN: S/ 9.0,MN,2025-10-24,Tipo: COMISION | Costo por revisión y análisis de facultades de representantes del cliente. | 1. Poderes | 1. Revisión y análisis de facultades de representantes del cliente (g) | Periodicidad: Por operación | Cliente: Persona Natural | Categoría: Revisión de poderes
Banco_de_la_Nación,Tasas Préstamos de Consumo,MN: 12.99%,MN,28/12/2024,Tipo: TASA | Tasa de interés anual efectiva para préstamos Multired sin convenio hasta 24 meses. | PRÉSTAMO MULTIRED SIN CONVENIO (El cliente tiene la opción de no amortizar el capital e intereses en los meses de abril y diciembre) | Periodicidad: Anual | Cobro: Por única vez | Condiciones: Hasta 24 meses | Cliente: Persona Natural | Categoría: TEA
Banco_de_la_Nación,Tasas Préstamos de Consumo,MN: 13.99%,MN,28/12/2024,Tipo: TASA | Tasa de interés anual efectiva para préstamos Multired sin convenio hasta 36 meses. | PRÉSTAMO MULTIRED SIN CONVENIO (El cliente tiene la opción de no amortizar el capital e intereses en los meses de abril y diciembre) | Periodicidad: Anual | Cobro: Por única vez | Condiciones: Hasta 36 meses | Cliente: Persona Natural | Categoría: TEA
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 16.0 | ME: $ 5.0,AMBAS,18/10/2021,Tipo: COMISION | Comisión por certificar fondos de un cheque girado contra la cuenta. | Por la certificación de los fondos al que asciende un cheque. Vigente desde 18/10/2021 | Periodicidad: Por operación | Cliente: Persona Jurídica | Categoría: Certificación
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 1.0% | ME: $ 14.0 - $ 267.9,AMBAS,20/01/2015,Tipo: COMISION | Comisión por canje de cheques de otros bancos depositados en cuentas BBVA. | Por verificación de fondos cobrada al momento de la negociación del cheque. Vigente desde 20/01/2015 | Periodicidad: Por operación | Cobro: Al momento de la negociación | Cliente: Persona Jurídica | Categoría: Canje
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 1.0% | ME: $ 14.0 - $ 267.9,AMBAS,20/01/2015,"Tipo: COMISION | Comisión por remesa de cheque de otro banco depositado en BBVA, sin oficina del emisor. | Cobrada al beneficiario al momento de la información del cheque. Vigente desde 20/01/2015 | Periodicidad: Por operación | Cobro: Al momento de la información del cheque | Cliente: Persona Jurídica | Categoría: Remesa"
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 1.0% | ME: $ 14.0 - $ 267.9,AMBAS,20/01/2015,Tipo: COMISION | Comisión por remesa de cheque de otro banco sin oficina BBVA en la localidad de emisión. | Vigente desde 20/01/2015 | Periodicidad: Por operación | Cliente: Persona Jurídica | Categoría: Remesa
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 1.0 | ME: $ 0.4,AMBAS,20/01/2015,Tipo: COMISION | Comisión por depósito de cheque BBVA en la misma localidad de la cuenta girada. | Vigente desde 20/01/2015 | Periodicidad: Por operación | Cliente: Persona Jurídica | Categoría: Depósito
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 0.5% | ME: $ 2.5 - $ 428.6,AMBAS,20/01/2015,Tipo: COMISION | Comisión por cobro de cheque BBVA en una localidad diferente a la de la cuenta de cargo. | A cargo del beneficiario del cheque. Vigente desde 20/01/2015 | Periodicidad: Por operación | Condiciones: A cargo del beneficiario del cheque | Cliente: Persona Jurídica | Categoría: Cobro
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 18.0 | ME: $ 5.5,AMBAS,15/03/2024,Tipo: COMISION | Comisión por emisión de cheque de gerencia con cargo en cuenta de la misma localidad. | Gastos a cargo del ordenante al momento de la emisión. Vigente desde 15/03/2024 | Periodicidad: Por operación | Cobro: Al momento de la emisión | Condiciones: Cargo del ordenante | Cliente: Persona Jurídica | Categoría: Emisión
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 0.5% | ME: $ 2.5 - $ 428.6,AMBAS,20/01/2015,"Tipo: COMISION | Comisión por emisión de cheque de gerencia en localidad distinta a la cuenta de cargo. | Por cada cheque. Si es con cargo en cuenta de otra plaza, verificar emisión interplaza. Vigente desde 20/01/2015 | Periodicidad: Por cheque | Condiciones: Verificar emisión interplaza si es con cargo en cuenta de otra plaza. | Cliente: Persona Jurídica | Categoría: Emisión"
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: 1.0% | ME: $ 14.0 - $ 267.9,AMBAS,20/01/2015,"Tipo: COMISION | Comisión por negociación de cheques a cargo en plazas sin presencia de bancos presentadores vía CCE. | Se aplica al Banco presentador, a cobrarse al día siguiente de su presentación. Vigente desde 20/01/2015 | Periodicidad: Por operación | Cobro: Al día siguiente de su presentación | Condiciones: Aplica al Banco presentador. | Cliente: Persona Jurídica | Categoría: Negociación"
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 24.0 | ME: $ 6.2,MN,15/03/2024,Tipo: COMISION | Comisión por emisión de talonarios de cheques personales y comerciales. | Talonario personal de 25 cheques. Vigente desde 15/03/2024 | Periodicidad: Por talonario | Condiciones: Talonario personal de 25 cheques. | Cliente: Persona Jurídica | Categoría: Emisión de Talonarios
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 34.0 | ME: $ 8.8,MN,15/03/2024,Tipo: COMISION | Comisión por emisión de talonarios de cheques comerciales. | Talonario comercial de 50 cheques. Vigente desde 15/03/2024 | Periodicidad: Por talonario | Condiciones: Talonario comercial de 50 cheques. | Cliente: Persona Jurídica | Categoría: Emisión de Talonarios
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 50.0 | ME: $ 13.5,AMBAS,18/10/2021,Tipo: COMISION | Comisión por cheque devuelto o rechazado. | Vigente desde 18/10/2021 | Periodicidad: Por cheque | Cliente: Persona Jurídica | Categoría: Rechazo
BBVA_Continental,"Emisión, Certificación de Depósitos y Cobros",MN: S/ 5.0 | ME: $ 3.0,AMBAS,18/10/2021,Tipo: COMISION | Comisión por anulación de cheques. | Vigente desde 18/10/2021 | Periodicidad: Por cheque | Cliente: Persona Jurídica | Categoría: Anulación
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 1.5% | ME: 1.5%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en grifos y estaciones de servicio. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en surtidores de combustible automatizados. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en tiendas de comestibles y supermercados. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones con proveedores de carne congelada. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en tiendas de productos lácteos. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en panaderías. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en tiendas de conveniencia. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones de servicios de telecomunicaciones. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,"Tipo: COMISION | Comisión por transacciones de servicios de cable, satélite y transmisión de pago. | Periodicidad: Por transacción | Categoría: Adquirencia"
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,"Tipo: COMISION | Comisión por transacciones de aseguradoras, ventas, suscripción y primas de seguros. | Periodicidad: Por transacción | Categoría: Adquirencia"
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,"Tipo: COMISION | Comisión por transacciones en institutos educativos, universidades y escuelas profesionales. | Periodicidad: Por transacción | Categoría: Adquirencia"
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en escuelas de negocios y secretariado. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en escuelas de negocios y secretariado. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,MN: 3.29% | ME: 3.29%,AMBAS,2025-10-24,Tipo: COMISION | Comisión por transacciones en escuelas vocacionales y de oficios. | Periodicidad: Por transacción | Categoría: Adquirencia
BBVA_Continental,Comisiones de Adquirencia 2025,N/A,,2025-10-24,Tipo: COMISION | Categoría: Adquirencia
BBVA_Continental,Cuenta Senior,MN: 0.125% | ME: 0.125%,AMBAS,29/11/2022,Tipo: TASA | Tasa de interés anual para la Cuenta Senior. | Vigente hasta el 29/11/2022 | Periodicidad: Anual | Categoría: Interés
BBVA_Continental,Cuenta Senior,MN: 0.0% | ME: 0.0%,AMBAS,30/11/2022,Tipo: TASA | Tasa de interés anual para la Cuenta Senior. | Vigente desde 30/11/2022 | Periodicidad: Anual | Categoría: Interés
BBVA_Continental,Cuenta Senior,MN: 3.0%,MN,23/06/2016,"Tipo: COMISION | Comisión por cambio de moneda en transacciones en el extranjero. | Aplica para todas las tarjetas de débito. Por servicio de cambio de moneda por las transacciones (compra y disposición de efectivo), hechas en el extranjero en moneda diferente al dólar americano. Vigente desde 23/06/2016 | Condiciones: Aplica para todas las tarjetas de débito. | Categoría: Conversión de moneda"
BBVA_Continental,Cuenta Senior,N/A,AMBAS,19/03/2021,Tipo: COMISION | Comisión por retiro de efectivo en cajeros o ventanillas fuera de la localidad de contratación. | Vigente desde 19/03/2021 | Categoría: Operaciones en otra localidad
BBVA_Continental,Cuenta Senior,N/A,AMBAS,19/03/2021,Tipo: COMISION | Comisión por retiro de efectivo en Agente Express fuera de la localidad de contratación. | Vigente desde 19/03/2021 | Categoría: Operaciones en otra localidad
BBVA_Continental,Cuenta Senior,MN: 0.5% | ME: $ 2.7 - $ 125.0,AMBAS,29/11/2022,Tipo: COMISION | Comisión por depósitos en ventanilla o Agente Express desde otra localidad. | - Por ventanilla y Agente Express - Aplicable al beneficiario del depósito. - Vigente hasta el 29/11/2022 | Condiciones: Aplicable al beneficiario del depósito. | Categoría: Depósitos
BBVA_Continental,Cuenta Senior,N/A,AMBAS,30/11/2022,"Tipo: COMISION | Comisión por depósitos en ventanilla, Agente Express o cajero BBVA desde otra localidad. | - Por ventanilla y Agente Express y Cajero Automático BBVA - Aplicable al beneficiario del depósito. - Vigente desde 30/11/2022 | Condiciones: Aplicable al beneficiario del depósito. | Categoría: Depósitos"
BBVA_Continental,Cuenta Senior,MN: S/ 1.0,AMBAS,29/11/2022,"Tipo: COMISION | Comisión por consulta de saldos y movimientos en Agente Express. | Se cobra a partir de la 1ra consulta Para Agente Express Plus, aplican las mismas comisiones del canal Ventanilla Vigente hasta 29/11/2022 | Cobro: A partir de la 1ra consulta | Condiciones: Para Agente Express Plus, aplican las mismas comisiones del canal Ventanilla | Categoría: Consulta de saldos"
BBVA_Continental,Cuenta Senior,MN: S/ 2.0,AMBAS,30/11/2022,"Tipo: COMISION | Comisión por retiros o transferencias en Agente Express y cajero BBVA. | Se cobra a partir de la 1ra consulta Para Agente Express Plus, aplican las mismas comisiones del canal Ventanilla Vigente desde 30/11/2022 | Cobro: A partir de la 1ra consulta | Condiciones: Para Agente Express Plus, aplican las mismas comisiones del canal Ventanilla | Categoría: Retiros y transferencias"
BBVA_Continental,Cuenta Senior,MN: S/ 1.0,AMBAS,29/11/2022,"Tipo: COMISION | Comisión por retiros o transferencias en Agente Express (hasta 4 operaciones libres). | Vigente hasta el 29/11/2022 | Condiciones: 4 operaciones sin costo, a partir de la 5ta. operación | Categoría: Retiros y transferencias"
BBVA_Continental,Cuenta Senior,MN: S/ 5.0 | ME: $ 1.2,AMBAS,30/11/2022,Tipo: COMISION | Comisión por retiros en Agente Express (a partir de la 21va operación). | Si recibe su sueldo en esta cuenta los retiros son libres. Vigente desde 30/11/2022 | Condiciones: Si recibe su sueldo en esta cuenta los retiros son libres. | Categoría: Retiros y transferencias
BBVA_Continental,Cuenta Senior,MN: S/ 4.0 | ME: $ 1.2,AMBAS,30/11/2022,Tipo: COMISION | Comisión por retiros en cajero automático BBVA (a partir de la 21va operación). | 20 Retiros libres: Desde el 22/12/2022 en Cajero Automático BBVA y desde el 28/12/2022 en Agente Express. | Condiciones: 20 Retiros libres: Desde el 22/12/2022 en Cajero Automático BBVA y desde el 28/12/2022 en Agente Express. | Categoría: Retiros y transferencias
BBVA_Continental,Cuenta Senior,MN: S/ 25.0 | ME: $ 9.0,AMBAS,10/08/2020,Tipo: COMISION | Comisión por uso de cajeros automáticos de otros bancos. | Aplica para todas las tarjetas de débito Vigente desde 10/08/2020 | Condiciones: Aplica para todas las tarjetas de débito | Categoría: Uso de cajero automático
BBVA_Continental,Cuenta Senior,MN: S/ 8.0 | ME: $ 2.6,AMBAS,29/11/2022,Tipo: COMISION | Comisión por retiros o transferencias en ventanilla (desde la 2da operación). | Vigente hasta el 29/11/2022 | Condiciones: Desde la 2da operación | Categoría: Retiros y transferencias
BBVA_Continental,Cuenta Senior,MN: S/ 15.0 | ME: $ 5.0,AMBAS,30/11/2022,Tipo: COMISION | Comisión por retiros o transferencias en ventanilla (desde la 2da operación). | Vigente desde 30/11/2022 | Condiciones: Desde la 2da operación | Categoría: Retiros y transferencias
BBVA_Continental,Cuenta Senior,MN: S/ 5.0 | ME: $ 1.6,AMBAS,29/11/2022,Tipo: COMISION | Comisión por consulta de saldos y movimientos en ventanilla. | A partir de la primera consulta Vigente hasta el 29/11/2022 | Cobro: A partir de la primera consulta | Categoría: Consulta de saldos
BBVA_Continental,Cuenta Senior,MN: S/ 10.0 | ME: $ 3.3,AMBAS,30/11/2022,Tipo: COMISION | Comisión por consulta de saldos y movimientos en ventanilla. | A partir de la primera consulta Vigente desde 30/11/2022 | Cobro: A partir de la primera consulta | Categoría: Consulta de saldos
BBVA_Continental,Cuenta Senior,N/A,AMBAS,01/08/2012,Tipo: COMISION | Comisión por consultas de saldos y movimientos en canales electrónicos. | Vigente desde 01/08/2012 | Categoría: Consulta de saldos
BBVA_Continental,Cuenta Senior,N/A,AMBAS,31/08/2023,"Tipo: COMISION | Comisión mensual por mantenimiento de cuenta según saldo. | Se cobra dependiendo del saldo medio mensual en la cuenta. En caso la cuenta se encuentre vinculada con Préstamo o Tarjeta de Crédito, no habrá costo por el mantenimiento mensual de la cuenta. Vigente desde 31/08/2023 | Periodicidad: Mensual | Condiciones: Se cobra dependiendo del saldo medio mensual en la cuenta. En caso la cuenta se encuentre vinculada con Préstamo o Tarjeta de Crédito, no habrá costo por el mantenimiento mensual de la cuenta. | Categoría: Mantenimiento de cuenta"
BBVA_Continental,Cuenta Senior,MN: S/ 3.5 | ME: $ 1.3,AMBAS,29/11/2022,Tipo: COMISION | Comisión por envío físico mensual del estado de cuenta. | Se envía de manera mensual a solicitud de Usted. Vigente hasta el 29/11/2022 | Periodicidad: Mensual | Condiciones: Se envía de manera mensual a solicitud de Usted. | Categoría: Envío de estado de cuenta
BBVA_Continental,Cuenta Senior,MN: S/ 10.0 | ME: $ 3.3,AMBAS,30/11/2022,Tipo: COMISION | Comisión por envío físico mensual del estado de cuenta. | Se envía de manera mensual a solicitud de Usted. Vigente desde 30/11/2022 | Periodicidad: Mensual | Condiciones: Se envía de manera mensual a solicitud de Usted. | Categoría: Envío de estado de cuenta
BBVA_Continental,Cuenta Senior,MN: S/ 20.0 | ME: $ 7.2,AMBAS,29/11/2022,Tipo: COMISION | Comisión por reposición de tarjeta de débito. | Aplica para todas las tarjetas de débito Vigente hasta el 29/11/2022 | Condiciones: Aplica para todas las tarjetas de débito | Categoría: Reposición de tarjeta
BBVA_Continental,Cuenta Senior,MN: S/ 25.0 | ME: $ 9.0,AMBAS,30/11/2022,Tipo: COMISION | Comisión por reposición de tarjeta de débito. | Aplica para todas las tarjetas de débito Vigente desde 30/11/2022 | Condiciones: Aplica para todas las tarjetas de débito | Categoría: Reposición de tarjeta
BBVA_Continental,Cuenta Senior,MN: S/ 20.0 | ME: $ 7.2,AMBAS,29/11/2022,"Tipo: COMISION | Comisión por cambio de tarjeta de débito con diseño especial. | En los casos en que Usted desee una nueva tarjeta con diseño especial, se aplicará esta comisión. No aplica para tarjeta de débito Empresarial Vigente hasta 29/11/2022 | Condiciones: En los casos en que Usted desee una nueva tarjeta con diseño especial, se aplicará esta comisión. No aplica para tarjeta de débito Empresarial | Categoría: Cambio de tarjeta"
BBVA_Continental,Cuenta Senior,MN: S/ 25.0 | ME: $ 9.0,AMBAS,30/11/2022,"Tipo: COMISION | Comisión por cambio de tarjeta de débito con diseño especial. | En los casos en que Usted desee una nueva tarjeta con diseño especial, se aplicará esta comisión. No aplica para tarjeta de débito Empresarial Vigente desde 30/11/2022 | Condiciones: En los casos en que Usted desee una nueva tarjeta con diseño especial, se aplicará esta comisión. No aplica para tarjeta de débito Empresarial | Categoría: Cambio de tarjeta"
BBVA_Continental,Cuenta Senior,ME: $ 137.48,ME,10/08/2020,Tipo: GASTO | Costo por servicio de efectivo de emergencia en el extranjero. | Vigente desde el 10/08/2020. Aplica para tarjetas Visa | Condiciones: Aplica para tarjetas Visa | Categoría: Servicio de emergencia
BBVA_Continental,Cuenta Negocio Personas Naturales No,N/A,,2025-10-24,Tipo: TASA | Cliente: Persona Natural con Negocio | Categoría: Interés
BBVA_Continental,Cartas Fianza - Personas Naturales,MN: 7.5% | ME: $ 35.0,AMBAS,26/12/2021,"Tipo: COMISION | Comisión por emisión de cartas fianza para garantizar obligaciones y derechos. | Por fianzas que garantizan pago de obligaciones, derechos de aduana, adelantos y otros. Importes mínimos por bimestre o fracción. Se cobra por adelantado de acuerdo a la periodicidad pactada y días de vigencia. Vigente desde 26/12/2021 para Persona Jurídica y desde 25/01/2022 para Persona Natural con Negocio y Microempresas | Periodicidad: Bimestral | Cobro: Por adelantado | Condiciones: Garantizan pago de obligaciones, derechos de aduana, adelantos y otros. | Cliente: Persona Jurídica | Categoría: Emisión"
BBVA_Continental,Cartas Fianza - Personas Naturales,MN: S/ 3.5 | ME: $ 1.0,AMBAS,01/08/2011,Tipo: COMISION | Comisión por el envío mensual de extractos de movimientos de cartas fianza. | Vigente desde 01/08/2011 | Periodicidad: Mensual | Cliente: Persona Jurídica | Categoría: Envío de Extracto
